yy;aeronautica_6779;aeronautica_6797;aeronautica_6803;aeronautica_6851;friuliveneziagiulia_20;marche_108;marche_110;marche_701;toscana_72;aeronautica_6693;aeronautica_6697;aeronautica_6865;bolzano_39;lazio_388;toscana_25;trentino_6511;aeronautica_6707;aeronautica_6718;aeronautica_6720;aeronautica_6723;aeronautica_6733;emiliaromagna_12702;friuliveneziagiulia_39;marche_152;marche_605;aeronautica_6709;aeronautica_6782;aeronautica_6826;marche_104;trentino_6509;trentino_6564;trentino_6640;aeronautica_6771;aeronautica_6773;aeronautica_6794;aeronautica_6817;aeronautica_6827;aeronautica_6834;aeronautica_6856;aeronautica_6869;aeronautica_6893;lazio_289;marche_25;sicilia_11812;sicilia_11882;aeronautica_6691;aeronautica_6692;aeronautica_6919
1998;54;18;0;21;66;92;29;1;NA;151;NA;83;104;133;49;109;82;50;49;NA;45;18;69;20;NA;36;25;31;25;86;93;142;0;28;18;12;1;14;0;NA;4;NA;NA;1;0;NA;NA;4
1999;NA;24;NA;NA;66;75;38;NA;NA;NA;NA;NA;110;133;68;123;81;61;NA;NA;62;30;80;20;NA;NA;NA;NA;25;93;NA;138;NA;NA;NA;NA;0;NA;NA;NA;11;8;NA;NA;4;NA;NA;NA
2000;NA;NA;NA;1;46;58;26;3;NA;NA;NA;NA;82;107;NA;91;53;50;NA;NA;40;23;64;26;48;NA;NA;11;20;67;62;123;0;NA;NA;NA;0;4;NA;NA;8;7;15;4;0;171;170;NA
2001;37;NA;NA;17;NA;44;27;NA;NA;132;NA;83;94;122;NA;98;66;46;37;50;33;28;55;13;44;45;32;35;34;74;74;128;1;20;15;9;NA;17;0;2;3;4;16;2;0;NA;NA;1
2002;44;NA;NA;20;28;NA;26;NA;18;162;80;56;79;117;34;80;48;37;NA;27;27;21;35;18;32;22;14;14;23;NA;53;122;0;18;17;18;2;19;0;NA;6;8;NA;6;0;186;194;5
2003;63;NA;NA;25;55;70;40;2;16;171;NA;90;114;NA;74;116;84;61;41;54;48;20;76;22;67;NA;47;48;57;87;88;NA;0;30;24;25;3;15;0;0;4;6;29;9;0;182;190;9
2004;51;29;1;14;47;NA;32;2;17;154;111;76;114;NA;72;NA;79;46;30;51;37;16;75;18;49;48;27;33;31;87;84;141;0;16;14;20;5;25;0;2;3;5;34;3;0;178;195;4
2005;75;52;16;26;74;67;53;12;31;139;121;87;117;NA;93;NA;103;81;74;94;70;29;90;34;71;60;59;60;58;NA;NA;134;2;45;33;30;7;18;0;0;10;9;67;0;NA;179;193;12
2006;47;32;8;23;45;56;38;12;15;143;112;67;107;NA;58;109;75;52;52;62;45;32;65;17;53;28;34;31;33;88;NA;NA;0;33;21;16;6;14;0;0;3;5;32;0;1;164;178;5
2007;37;12;2;13;31;49;12;1;5;150;86;50;86;NA;46;NA;63;32;NA;44;16;4;45;12;43;9;9;13;5;NA;NA;NA;0;13;10;8;4;6;2;1;2;NA;20;0;0;167;185;0
2008;40;18;2;16;35;NA;NA;1;5;143;91;50;90;125;53;NA;59;39;33;44;26;10;45;11;42;28;17;17;13;NA;NA;132;0;8;6;7;4;11;0;0;3;2;16;2;0;181;192;5
2009;53;19;5;17;33;NA;NA;5;14;147;105;67;96;138;65;NA;71;60;47;50;44;22;48;14;NA;42;26;27;25;NA;NA;NA;0;16;15;9;8;NA;1;0;1;3;14;1;1;180;183;4
2010;48;29;4;17;47;53;26;6;18;153;113;76;116;NA;85;NA;91;45;37;58;49;28;56;25;56;78;47;31;NA;NA;NA;135;0;23;16;16;2;NA;1;0;0;3;23;0;0;196;202;3
2011;56;14;0;16;37;67;16;1;6;138;108;68;68;NA;51;NA;64;50;37;49;30;19;69;20;48;31;26;22;19;NA;NA;125;0;20;15;5;4;NA;0;0;2;0;18;0;0;153;175;1
2012;62;33;11;25;59;74;40;8;28;134;98;82;91;129;65;107;78;65;56;64;62;39;75;33;64;38;29;37;27;83;82;127;11;35;27;24;5;NA;0;0;8;7;36;1;0;170;173;12
2013;47;29;0;24;30;52;10;1;7;126;98;74;88;120;64;111;77;56;43;38;27;13;54;10;50;41;20;24;NA;83;84;111;1;22;24;4;1;NA;0;0;6;1;15;0;0;172;187;4
2014;21;8;1;3;6;21;5;0;6;125;61;62;49;104;28;72;37;14;4;11;3;2;NA;2;18;16;4;NA;5;39;38;101;0;5;7;3;0;NA;2;1;1;NA;NA;1;NA;138;140;1
2015;48;12;1;15;28;57;6;0;7;141;105;76;83;118;42;109;59;40;21;50;31;9;NA;NA;45;27;9;23;4;52;64;124;0;7;14;3;2;NA;2;0;3;2;7;NA;NA;148;159;1
2016;43;12;0;13;38;42;8;NA;5;140;101;61;101;113;33;116;57;35;NA;47;30;13;55;NA;33;24;7;9;6;57;77;126;0;14;10;4;1;NA;0;0;2;1;NA;0;0;179;174;1
2017;51;NA;5;16;46;66;14;4;17;145;103;79;104;NA;52;117;65;54;NA;55;45;24;62;NA;55;39;30;27;NA;71;81;134;0;22;14;14;12;NA;3;5;7;9;17;3;3;173;185;5
2018;33;NA;4;9;31;58;12;NA;12;122;92;63;99;125;46;107;52;43;23;44;26;16;NA;12;44;28;18;16;18;78;86;128;4;14;19;7;6;NA;1;0;1;3;14;0;0;146;154;0
2019;42;14;0;9;32;60;11;0;10;133;100;67;NA;132;40;98;53;NA;34;59;30;10;57;9;35;20;12;19;19;64;70;116;0;20;22;9;13;NA;0;1;2;2;13;0;3;173;174;5
2020;39;8;0;5;28;54;10;0;4;159;109;57;96;110;30;110;51;37;18;55;27;NA;NA;4;44;6;2;11;2;62;73;135;0;6;18;5;3;7;0;0;5;0;22;1;0;160;171;1
