yy,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6851,friuliveneziagiulia_20,marche_108,marche_110,marche_701,toscana_72,aeronautica_6693,aeronautica_6697,aeronautica_6865,bolzano_39,lazio_388,toscana_25,trentino_6511,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6723,aeronautica_6733,emiliaromagna_12702,friuliveneziagiulia_39,marche_152,marche_605,aeronautica_6709,aeronautica_6782,aeronautica_6826,marche_104,trentino_6509,trentino_6564,trentino_6640,aeronautica_6771,aeronautica_6773,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6856,aeronautica_6869,aeronautica_6893,lazio_289,marche_25,sicilia_11812,sicilia_11882,aeronautica_6691,aeronautica_6692,aeronautica_6919
1971,3.960000000000001,2.25,3.27,-14.71,5.93,15.299999999999997,6.759999999999998,11.27,6.970000000000001,-2.1999999999999886,-8.150000000000006,4.25,-1.7600000000000051,20.349999999999994,9.030000000000001,-16.75,NA,NA,6.93,5.030000000000001,NA,1.3299999999999983,-2.210000000000001,NA,8.729999999999997,-7.289999999999999,-1.5199999999999996,10.54,11.57,5.1200000000000045,-12.170000000000002,1.8300000000000125,2.16,7.409999999999997,4.890000000000001,2.75,1.62,13.86,-0.5900000000000001,-0.54,NA,-1.0999999999999996,5,-0.31,0,-0.37999999999999545,-3.180000000000007,-2.4400000000000004
1972,-22.04,NA,-3.73,-13.71,-20.07,-37.7,-29.240000000000002,-6.73,-10.03,-3.1999999999999886,NA,-31.75,-12.760000000000005,10.349999999999994,-21.97,-23.75,NA,NA,-27.07,-40.97,NA,-19.67,-23.21,-17.88,-31.270000000000003,-1.2899999999999991,-22.52,NA,-20.43,-8.879999999999995,-12.170000000000002,-32.16999999999999,-0.84,-20.590000000000003,-15.11,-12.25,-3.38,-15.14,-1.59,NA,NA,-7.1,-25,-0.31,-1,26.620000000000005,21.819999999999993,-1.4400000000000004
1973,19.96,10.25,0.27,1.2899999999999991,2.9299999999999997,19.299999999999997,-1.240000000000002,0.2699999999999996,7.970000000000001,NA,22.849999999999994,3.25,11.239999999999995,18.349999999999994,13.030000000000001,27.25,-0.5400000000000063,11.420000000000002,7.93,1.0300000000000011,2.6199999999999974,-3.6700000000000017,NA,-7.879999999999999,15.729999999999997,-4.289999999999999,6.48,NA,-3.4299999999999997,30.120000000000005,8.829999999999998,16.830000000000013,0.16000000000000003,20.409999999999997,21.89,9.75,2.62,-8.14,-1.59,-0.54,-0.8799999999999999,-0.09999999999999964,10,0.69,NA,-0.37999999999999545,-10.180000000000007,4.56
1974,-7.039999999999999,-9.75,-3.73,-8.71,-21.07,-11.700000000000003,-29.240000000000002,-6.73,-14.03,3.8000000000000114,-10.150000000000006,-20.75,-21.760000000000005,21.349999999999994,-19.97,5.25,-30.540000000000006,-36.58,-30.07,-28.97,-26.380000000000003,-17.67,NA,-14.879999999999999,-16.270000000000003,-33.29,-28.52,-20.46,-25.43,-29.879999999999995,-19.17,10.830000000000013,-0.84,-17.590000000000003,-6.109999999999999,-8.25,-4.38,-18.14,-1.59,-0.54,-3.88,-6.1,-13,-0.31,-1,38.620000000000005,36.81999999999999,-2.4400000000000004
1975,-6.039999999999999,-6.75,-3.73,15.29,-5.07,-2.700000000000003,-12.240000000000002,-6.73,-13.03,1.8000000000000114,-14.150000000000006,-14.75,-9.760000000000005,-25.650000000000006,-19.97,-5.75,-18.540000000000006,-18.58,-11.07,-5.969999999999999,-8.380000000000003,-12.670000000000002,NA,-8.879999999999999,-11.270000000000003,-28.29,-12.52,-5.460000000000001,-25.43,-4.8799999999999955,4.829999999999998,2.8300000000000125,-0.84,-4.590000000000003,-3.1099999999999994,-0.25,-3.38,-2.1400000000000006,-1.59,-0.54,0.1200000000000001,-6.1,-12,-0.31,-1,3.6200000000000045,-1.1800000000000068,0.5599999999999996
1976,-12.04,NA,NA,9.29,-0.07000000000000028,2.299999999999997,-12.240000000000002,-1.7300000000000004,-6.029999999999999,1.8000000000000114,8.849999999999994,NA,-6.760000000000005,-19.650000000000006,-8.969999999999999,-3.75,-11.540000000000006,-8.579999999999998,-10.07,2.030000000000001,-3.3800000000000026,0.3299999999999983,NA,3.120000000000001,-5.270000000000003,-6.289999999999999,10.48,2.539999999999999,-4.43,NA,12.829999999999998,2.8300000000000125,-0.84,-10.590000000000003,-2.1099999999999994,-2.25,-2.38,-4.140000000000001,0.4099999999999999,-0.54,-4.88,-2.0999999999999996,-5,-0.31,-1,10.620000000000005,11.819999999999993,-4.44
1977,-12.04,-8.75,-3.73,-1.7100000000000009,-23.07,-25.700000000000003,-15.240000000000002,-6.73,-7.029999999999999,1.8000000000000114,-7.150000000000006,-19.75,-11.760000000000005,-44.650000000000006,-7.969999999999999,NA,-8.540000000000006,-11.579999999999998,-19.07,-20.97,-20.380000000000003,-10.670000000000002,-21.21,-20.88,-26.270000000000003,-14.29,-20.52,-16.46,-19.43,-8.879999999999995,13.829999999999998,1.8300000000000125,-0.84,-10.590000000000003,-10.11,-7.25,-4.38,-10.14,-1.59,-0.54,-3.88,-5.1,-15,-0.31,-1,-2.3799999999999955,-6.180000000000007,-3.4400000000000004
1978,5.960000000000001,-7.75,-3.73,8.29,-14.07,1.2999999999999972,-14.240000000000002,NA,-12.03,2.8000000000000114,13.849999999999994,-19.75,-3.760000000000005,NA,8.030000000000001,-30.75,-11.540000000000006,-4.579999999999998,-9.07,-0.9699999999999989,1.6199999999999974,-0.6700000000000017,2.789999999999999,-8.879999999999999,-2.270000000000003,12.71,2.4800000000000004,-4.460000000000001,-1.4299999999999997,-8.879999999999995,0.8299999999999983,25.830000000000013,-0.84,-13.590000000000003,-4.109999999999999,-6.25,-2.38,-9.14,-1.59,-0.54,-1.88,-3.0999999999999996,-20,-0.31,0,24.620000000000005,11.819999999999993,0.5599999999999996
1979,-5.039999999999999,-9.75,5.27,-6.710000000000001,-19.07,-22.700000000000003,-11.240000000000002,6.27,-1.0299999999999994,4.800000000000011,-17.150000000000006,-23.75,-5.760000000000005,-2.6500000000000057,1.0300000000000011,-24.75,-15.540000000000006,-12.579999999999998,-15.07,-12.969999999999999,-20.380000000000003,-1.6700000000000017,-20.21,-14.879999999999999,-17.270000000000003,11.71,-4.52,-7.460000000000001,2.5700000000000003,-1.8799999999999955,6.829999999999998,7.8300000000000125,1.1600000000000001,-10.590000000000003,-9.11,-4.25,0.6200000000000001,-8.14,1.41,1.46,0.1200000000000001,1.9000000000000004,-12,-0.31,1,4.6200000000000045,2.819999999999993,5.56
1980,10.96,-11.75,2.27,NA,3.9299999999999997,-9.700000000000003,-10.240000000000002,-1.7300000000000004,-5.029999999999999,11.800000000000011,18.849999999999994,NA,-1.7600000000000051,37.349999999999994,23.03,24.25,-9.540000000000006,-9.579999999999998,-2.0700000000000003,1.0300000000000011,-0.38000000000000256,-1.6700000000000017,4.789999999999999,NA,1.7299999999999969,11.71,9.48,7.539999999999999,11.57,5.1200000000000045,7.829999999999998,21.830000000000013,-0.84,-3.5900000000000034,-4.109999999999999,-1.25,-2.38,-8.14,-1.59,-0.54,1.12,1.9000000000000004,3,-0.31,NA,24.620000000000005,18.819999999999993,0.5599999999999996
