yy,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6851,friuliveneziagiulia_20,marche_108,marche_110,marche_701,toscana_72,aeronautica_6865,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6723,aeronautica_6733,emiliaromagna_12702,friuliveneziagiulia_39,marche_152,marche_605,aeronautica_6709,aeronautica_6782,aeronautica_6826,marche_104,aeronautica_6771,aeronautica_6773,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6841,aeronautica_6850,aeronautica_6856,aeronautica_6869,aeronautica_6874,aeronautica_6881,aeronautica_6883,aeronautica_6893,aeronautica_6897,aeronautica_6901,lazio_289,marche_25,sicilia_11812,sicilia_11825,sicilia_11882,aeronautica_6919,aeronautica_6922
1981,-0.58,0.54,-0.45999999999999996,-5.64,-4.5,-0.73,-7.550000000000001,-14.5,-5.76,0.32999999999999996,-1.12,0.33000000000000007,0.5899999999999999,-3.62,-0.03999999999999915,-7.77,2.38,-10.120000000000001,-3,-4.07,-9.14,-3.460000000000001,-2.1000000000000014,NA,-1.7199999999999998,NA,1.25,-1.69,-12.14,13.590000000000003,-5.319999999999993,-15.030000000000001,18.36,NA,3.180000000000007,-8.07,-5,-12.740000000000002,-3.1099999999999994,-3,-5.52,NA,NA,-3.539999999999999,-11.809999999999999,-15.11
1982,NA,1.54,9.54,8.36,6.5,-0.73,15.45,-0.5,6.24,2.33,1.88,11.33,4.59,5.38,11.96,0.23000000000000043,-2.62,13.879999999999999,3,-5.07,5.859999999999999,8.54,11.899999999999999,16.96,1.2800000000000002,1.74,17.25,0.31000000000000005,7.859999999999999,26.590000000000003,20.680000000000007,19.97,27.36,9.219999999999999,16.180000000000007,12.93,10,24.259999999999998,15.89,13,NA,-3.1700000000000017,9.86,6.460000000000001,40.19,18.89
1983,0.42000000000000004,3.54,7.54,4.36,2.5,1.27,NA,NA,5.24,0.32999999999999996,9.879999999999999,9.33,13.59,9.379999999999999,6.960000000000001,0.23000000000000043,4.38,3.879999999999999,4,10.93,-0.14000000000000057,3.539999999999999,-8.100000000000001,11.96,-0.7199999999999998,-0.26,6.25,5.3100000000000005,-2.1400000000000006,0.5900000000000034,6.680000000000007,0.9699999999999989,-3.6400000000000006,-8.780000000000001,-0.8199999999999932,7.93,-2,22.259999999999998,-2.1099999999999994,10,14.48,-3.1700000000000017,-4.140000000000001,-2.539999999999999,NA,4.890000000000001
1984,-0.58,-2.46,-4.46,-2.6399999999999997,0.5,1.27,-2.5500000000000007,-21.5,-10.76,-0.67,-6.12,-9.67,-3.41,-5.62,-11.04,-11.77,NA,-7.120000000000001,-1,-7.07,-2.1400000000000006,-0.46000000000000085,-10.100000000000001,-16.04,-4.72,-1.26,-7.75,-2.69,-14.14,-13.409999999999997,NA,-17.03,-16.64,-19.78,-8.819999999999993,1.9299999999999997,-6,-0.740000000000002,-10.11,-18,-2.5199999999999996,-6.170000000000002,-14.14,3.460000000000001,-18.81,-21.11
1985,1.42,-1.46,NA,-0.6399999999999997,8.5,14.27,-1.5500000000000007,NA,4.24,-0.67,0.8799999999999999,5.33,2.59,5.38,12.96,13.23,4.38,2.879999999999999,-1,1.9299999999999997,10.86,8.54,16.9,4.960000000000001,0.28000000000000025,NA,NA,-1.69,-1.1400000000000006,10.590000000000003,-2.319999999999993,-4.030000000000001,-2.6400000000000006,3.219999999999999,21.180000000000007,8.93,-5,-3.740000000000002,-1.1099999999999994,12,13.48,6.829999999999998,-4.140000000000001,11.46,-14.809999999999999,NA
1986,0.42000000000000004,-0.45999999999999996,6.54,1.3600000000000003,3.5,-0.73,-11.55,19.5,-0.7599999999999998,-0.67,5.88,4.33,-3.41,6.38,3.960000000000001,8.23,NA,NA,-3,-4.07,-0.14000000000000057,0.5399999999999991,-18.1,1.9600000000000009,-0.7199999999999998,-0.26,-2.75,-1.69,-3.1400000000000006,21.590000000000003,3.680000000000007,16.97,8.36,21.22,18.180000000000007,12.93,0,-0.740000000000002,1.8900000000000006,-8,1.4800000000000004,3.8299999999999983,-0.14000000000000057,-0.5399999999999991,17.19,2.8900000000000006
1987,3.42,2.54,6.54,-1.6399999999999997,8.5,1.27,-7.550000000000001,27.5,14.24,6.33,3.88,7.33,NA,-4.62,3.960000000000001,18.23,2.38,NA,3,-0.07000000000000028,7.859999999999999,12.54,15.899999999999999,22.96,6.28,1.74,8.25,1.31,4.859999999999999,18.590000000000003,21.680000000000007,28.97,30.36,11.219999999999999,12.180000000000007,31.93,16,33.26,26.89,34,-11.52,28.83,19.86,5.460000000000001,13.190000000000001,20.89
1988,NA,NA,NA,NA,16.5,0.27,11.45,18.5,-0.7599999999999998,NA,0.8799999999999999,6.33,NA,NA,3.960000000000001,5.23,7.38,23.88,3,NA,7.859999999999999,NA,12.899999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,23,5.48,15.829999999999998,28.86,17.46,NA,NA
1989,-0.58,2.54,5.54,-6.64,5.5,-0.73,1.4499999999999993,-9.5,7.24,-0.67,1.88,-3.67,2.59,7.38,-6.039999999999999,8.23,-0.6200000000000001,1.879999999999999,-1,-6.07,-4.140000000000001,-5.460000000000001,0.8999999999999986,10.96,2.2800000000000002,-1.26,9.25,-0.69,-5.140000000000001,-23.409999999999997,3.680000000000007,10.969999999999999,-11.64,-3.780000000000001,-2.819999999999993,11.93,1,16.259999999999998,3.8900000000000006,-3,-4.52,21.83,13.86,4.460000000000001,0.19000000000000128,-8.11
1990,-0.58,-2.46,-2.46,-5.64,-0.5,-1.73,-1.5500000000000007,NA,-0.7599999999999998,-0.67,-1.12,-6.67,NA,5.38,-1.0399999999999991,-0.7699999999999996,-2.62,-1.120000000000001,-2,-0.07000000000000028,-3.1400000000000006,-2.460000000000001,-3.1000000000000014,0.9600000000000009,-2.7199999999999998,-0.26,-2.75,-2.69,-12.14,16.590000000000003,31.680000000000007,5.969999999999999,9.36,31.22,17.180000000000007,NA,0,43.26,34.89,11,-1.5199999999999996,26.83,2.8599999999999994,NA,10.190000000000001,8.89
1991,-0.58,-1.46,7.54,-2.6399999999999997,7.5,NA,13.45,NA,8.24,-0.67,7.88,15.33,1.5899999999999999,5.38,19.96,15.23,7.38,4.879999999999999,-2,1.9299999999999997,7.859999999999999,5.539999999999999,14.899999999999999,32.96,2.2800000000000002,-1.26,7.25,-0.69,-5.140000000000001,23.590000000000003,18.680000000000007,6.969999999999999,13.36,11.219999999999999,12.180000000000007,23.93,5,NA,29.89,31,0.4800000000000004,18.83,3.8599999999999994,16.46,8.190000000000001,6.890000000000001
1992,-0.58,14.54,26.54,-1.6399999999999997,-0.5,NA,1.4499999999999993,7.5,12.24,-0.67,8.879999999999999,15.33,8.59,11.379999999999999,8.96,10.23,10.379999999999999,4.879999999999999,1,14.93,10.86,10.54,6.899999999999999,10.96,5.28,-1.26,15.25,0.31000000000000005,-1.1400000000000006,17.590000000000003,28.680000000000007,12.969999999999999,-0.6400000000000006,10.219999999999999,9.180000000000007,6.93,-1,16.259999999999998,23.89,25,28.48,20.83,19.86,NA,23.19,-15.11
1993,-0.58,2.54,16.54,-2.6399999999999997,1.5,2.27,3.4499999999999993,23.5,7.24,1.33,-4.12,7.33,-4.41,0.3799999999999999,11.96,7.23,5.38,NA,13,8.93,13.86,14.54,2.8999999999999986,7.960000000000001,2.2800000000000002,0.74,8.25,2.31,-0.14000000000000057,20.590000000000003,4.680000000000007,3.969999999999999,9.36,29.22,30.180000000000007,16.93,5,32.26,20.89,6,7.48,29.83,14.86,26.46,-3.8099999999999987,-8.11
