yy;aeronautica_6779;aeronautica_6797;aeronautica_6803;aeronautica_6851;friuliveneziagiulia_20;marche_108;marche_110;marche_701;toscana_72;aeronautica_6865;aeronautica_6707;aeronautica_6718;aeronautica_6720;aeronautica_6723;aeronautica_6733;emiliaromagna_12702;friuliveneziagiulia_39;marche_152;marche_605;aeronautica_6709;aeronautica_6782;aeronautica_6826;marche_104;aeronautica_6771;aeronautica_6773;aeronautica_6794;aeronautica_6817;aeronautica_6827;aeronautica_6834;aeronautica_6841;aeronautica_6850;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6893;aeronautica_6897;aeronautica_6901;lazio_289;marche_25;sicilia_11812;sicilia_11825;sicilia_11882;aeronautica_6919;aeronautica_6922
1999;NA;8;NA;NA;13;8;25;NA;NA;NA;6;18;NA;NA;17;47;7;25;NA;NA;NA;NA;24;NA;NA;NA;NA;11;NA;NA;NA;NA;NA;NA;NA;NA;40;NA;NA;47;NA;NA;69;57;NA;NA
2000;NA;NA;NA;14;16;8;33;80;NA;NA;5;9;NA;NA;17;48;6;28;8;NA;NA;20;28;66;NA;NA;NA;1;27;NA;NA;NA;NA;112;113;45;16;NA;97;39;26;66;40;38;NA;NA
2001;0;NA;NA;11;NA;8;37;NA;NA;0;8;22;7;22;32;58;10;31;5;21;31;14;37;54;15;1;33;NA;19;NA;100;66;79;101;121;70;26;NA;108;48;33;50;50;59;43;79
2002;0;NA;NA;7;4;NA;22;NA;14;0;7;12;NA;34;26;28;12;28;2;4;20;14;50;70;11;3;24;2;19;87;73;68;NA;88;88;55;33;62;104;49;NA;70;NA;51;26;71
2003;4;NA;NA;31;43;7;50;88;52;1;27;53;41;61;69;73;23;71;19;NA;60;45;73;103;68;19;60;16;36;102;132;100;99;112;105;71;52;108;104;76;59;60;75;75;59;92
2004;3;5;24;2;11;NA;23;87;16;0;5;27;8;11;28;32;6;42;12;2;22;19;34;51;11;5;21;8;16;93;80;58;78;95;107;45;21;92;94;36;25;44;31;36;28;92
2005;0;4;19;12;10;4;18;33;14;1;19;28;9;16;27;31;10;18;5;22;22;16;29;68;9;1;21;14;27;94;84;55;80;99;107;51;22;103;87;37;23;65;18;NA;35;84
2006;1;3;25;10;21;1;26;43;33;1;20;29;11;29;44;43;18;30;6;21;31;28;46;60;16;6;37;4;33;85;83;57;77;101;116;43;37;101;95;52;21;46;24;64;58;87
2007;0;7;25;14;10;3;33;45;5;0;2;9;NA;9;33;44;11;41;8;8;24;26;41;36;2;4;16;5;24;68;74;61;83;80;99;47;33;64;107;NA;26;47;25;61;20;89
2008;0;6;49;14;27;NA;NA;89;16;0;10;17;13;13;40;54;17;33;9;11;23;37;37;67;14;5;21;2;21;84;91;76;89;87;95;52;9;96;102;46;38;48;51;61;34;80
