yy,aeronautica_6771,aeronautica_6773,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6822,aeronautica_6841,aeronautica_6850,aeronautica_6851,aeronautica_6856,aeronautica_6869,aeronautica_6874,aeronautica_6897,friuliveneziagiulia_51,lazio_276,marche_701,sicilia_6120,toscana_464,toscana_55,toscana_72,toscana_78,aeronautica_6693,aeronautica_6697,aeronautica_6709,bolzano_176,bolzano_223,bolzano_39,bolzano_94,friuliveneziagiulia_47,toscana_25,trentino_6509,trentino_6511,trentino_6564,trentino_6640,aeronautica_6782,aeronautica_6826,marche_104,marche_109,marche_123,marche_703,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6859,aeronautica_6876,aeronautica_6881,aeronautica_6883,aeronautica_6893,aeronautica_6901,lazio_240,lazio_278,lazio_289,marche_25,sicilia_11825,sicilia_11832,sicilia_11883,sicilia_11898,sicilia_11933,sicilia_11942,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6721,aeronautica_6723,aeronautica_6729,aeronautica_6730,aeronautica_6733,aeronautica_6769,bolzano_203,emiliaromagna_12702,emiliaromagna_14246,emiliaromagna_9224,friuliveneziagiulia_14,friuliveneziagiulia_20,friuliveneziagiulia_39,marche_108,marche_110,marche_605,trentino_6570,lazio_388,aeronautica_6919,aeronautica_6922,aeronautica_6923
1971,23.72,12.969999999999999,-8.920000000000002,-9.829999999999998,-10.230000000000004,-8.719999999999999,-6.829999999999998,-1.5699999999999932,-4.819999999999993,-5.790000000000006,-16.180000000000007,-9.219999999999999,-7.260000000000005,10.170000000000002,-2.3799999999999955,0.269999999999996,-16.730000000000004,2.230000000000004,5.040000000000006,2.1400000000000006,1.1200000000000045,4.640000000000001,2.780000000000001,12,-12.329999999999998,13.6,6.58,1.9200000000000017,-4.699999999999999,19.36,0.03999999999999915,4.960000000000001,14.479999999999997,10.8,0.6899999999999977,-7.170000000000002,13.600000000000001,11.89,-5.840000000000003,29.04,1.6400000000000006,2.2099999999999937,-5,-6.719999999999999,-12.86,NA,-26.290000000000006,-11.590000000000003,NA,-23.11,4.25,NA,-2.3299999999999983,-10.340000000000003,-21.22,-10.079999999999998,-19.310000000000002,-14.11,-11.219999999999999,-9.969999999999999,NA,NA,4,-8.709999999999994,-0.7900000000000063,6.349999999999994,2.3299999999999983,NA,-5.209999999999994,-11.459999999999994,3.6299999999999955,6.310000000000002,18.58,3.700000000000003,-0.5699999999999932,-4.290000000000006,-5.569999999999993,3.3100000000000023,3.299999999999997,-5.200000000000003,2.15,-7.6699999999999875,-12.040000000000006,-24.310000000000002
1972,-12.280000000000001,-20.03,-18.92,NA,-17.230000000000004,-20.72,-24.83,-14.569999999999993,-14.819999999999993,-7.790000000000006,NA,NA,-35.260000000000005,-9.829999999999998,-18.379999999999995,-2.730000000000004,-28.730000000000004,-31.769999999999996,-27.959999999999994,-35.86,-24.879999999999995,1.6400000000000006,NA,-6,-8.329999999999998,-1.4000000000000004,-6.42,-2.0799999999999983,-6.699999999999999,-10.64,-8.96,-9.04,-13.520000000000003,-11.2,-13.310000000000002,NA,5.600000000000001,-13.11,-30.840000000000003,-15.96,-17.36,-15.790000000000006,-25,-25.72,-28.86,NA,-14.290000000000006,-12.590000000000003,NA,NA,-16.75,NA,-17.33,-29.340000000000003,NA,-20.08,-13.310000000000002,-8.11,-5.219999999999999,-15.969999999999999,NA,NA,-16,-25.709999999999994,-13.790000000000006,-9.650000000000006,-15.670000000000002,NA,-24.209999999999994,-21.459999999999994,-27.370000000000005,-18.689999999999998,-9.420000000000002,-12.299999999999997,-11.569999999999993,-30.290000000000006,-24.569999999999993,-11.689999999999998,-11.700000000000003,-28.200000000000003,-0.85,-17.669999999999987,-19.040000000000006,-29.310000000000002
1973,18.72,16.97,15.079999999999998,16.17,16.769999999999996,24.28,11.170000000000002,22.430000000000007,11.180000000000007,17.209999999999994,10.819999999999993,15.780000000000001,22.739999999999995,9.170000000000002,23.620000000000005,15.269999999999996,-0.730000000000004,3.230000000000004,0.04000000000000625,13.14,20.120000000000005,NA,-1.2199999999999989,10,10.670000000000002,2.5999999999999996,-2.42,4.920000000000002,-1.6999999999999993,8.36,1.0399999999999991,-7.039999999999999,9.479999999999997,6.800000000000001,9.689999999999998,NA,13.600000000000001,20.89,-15.840000000000003,15.04,5.640000000000001,16.209999999999994,19,11.280000000000001,10.14,10.829999999999998,12.709999999999994,10.409999999999997,15.960000000000008,3.8900000000000006,19.25,23.379999999999995,18.67,7.659999999999997,14.780000000000001,NA,22.689999999999998,26.89,17.78,19.03,4.290000000000006,6.6200000000000045,11,10.290000000000006,11.209999999999994,10.349999999999994,8.329999999999998,5.5,6.790000000000006,8.540000000000006,-1.3700000000000045,7.310000000000002,20.58,-3.299999999999997,6.430000000000007,NA,-0.5699999999999932,8.310000000000002,12.299999999999997,12.799999999999997,-0.85,13.330000000000013,-3.0400000000000063,2.6899999999999977
1974,-7.280000000000001,3.969999999999999,-1.9200000000000017,-2.8299999999999983,0.769999999999996,0.28000000000000114,9.170000000000002,3.430000000000007,-3.819999999999993,-11.790000000000006,-9.180000000000007,-5.219999999999999,-11.260000000000005,-8.829999999999998,-5.3799999999999955,12.269999999999996,-19.730000000000004,-7.769999999999996,-9.959999999999994,-11.86,-1.8799999999999955,-2.3599999999999994,-4.219999999999999,18,-3.3299999999999983,-3.4000000000000004,-2.42,NA,-3.6999999999999993,2.3599999999999994,6.039999999999999,1.9600000000000009,29.479999999999997,1.8000000000000007,1.6899999999999977,-2.1700000000000017,-7.399999999999999,0.8900000000000006,-4.840000000000003,3.039999999999999,-6.359999999999999,-5.790000000000006,-6,-11.719999999999999,-14.86,-16.17,-2.2900000000000063,-2.5900000000000034,-7.039999999999992,-8.11,-3.75,4.3799999999999955,-2.3299999999999983,-0.3400000000000034,-12.219999999999999,-6.079999999999998,-13.310000000000002,-7.109999999999999,-5.219999999999999,-6.969999999999999,7.290000000000006,3.6200000000000045,4,-3.7099999999999937,0.20999999999999375,4.349999999999994,-0.6700000000000017,2.5,0.7900000000000063,-3.4599999999999937,-4.3700000000000045,-1.6899999999999977,14.579999999999998,-10.299999999999997,3.430000000000007,NA,-12.569999999999993,0.3100000000000023,-4.700000000000003,-0.20000000000000284,2.15,-10.669999999999987,1.9599999999999937,-15.310000000000002
1975,2.719999999999999,6.969999999999999,5.079999999999998,2.1700000000000017,-0.23000000000000398,2.280000000000001,-5.829999999999998,10.430000000000007,14.180000000000007,3.2099999999999937,11.819999999999993,-7.219999999999999,6.739999999999995,-7.829999999999998,0.6200000000000045,11.269999999999996,-21.730000000000004,7.230000000000004,-4.959999999999994,-11.86,9.120000000000005,-4.359999999999999,4.780000000000001,0,NA,-4.4,-1.42,-4.079999999999998,-6.699999999999999,-2.6400000000000006,-0.9600000000000009,-6.039999999999999,18.479999999999997,-1.1999999999999993,9.689999999999998,-2.1700000000000017,3.6000000000000014,4.890000000000001,0.1599999999999966,-10.96,2.6400000000000006,-1.7900000000000063,-6,0.28000000000000114,6.140000000000001,-12.170000000000002,5.709999999999994,3.4099999999999966,-13.039999999999992,-1.1099999999999994,1.25,2.3799999999999955,2.6700000000000017,10.659999999999997,-2.219999999999999,5.920000000000002,5.689999999999998,2.8900000000000006,-9.219999999999999,-7.969999999999999,-2.7099999999999937,3.6200000000000045,-6,3.2900000000000063,11.209999999999994,7.349999999999994,7.329999999999998,17.5,15.790000000000006,-18.459999999999994,4.6299999999999955,-3.6899999999999977,-4.420000000000002,-11.299999999999997,19.430000000000007,NA,6.430000000000007,12.310000000000002,10.299999999999997,-4.200000000000003,0.15000000000000002,0.3300000000000125,3.9599999999999937,-8.310000000000002
1976,-3.280000000000001,-2.030000000000001,-14.920000000000002,NA,NA,-12.719999999999999,-12.829999999999998,-11.569999999999993,-17.819999999999993,-22.790000000000006,-29.180000000000007,-8.219999999999999,-11.260000000000005,-14.829999999999998,-9.379999999999995,-15.730000000000004,-43.730000000000004,-7.769999999999996,-9.959999999999994,-12.86,5.1200000000000045,-9.36,1.7800000000000011,7,9.670000000000002,-3.4000000000000004,10.58,-4.079999999999998,3.3000000000000007,-12.64,NA,-7.039999999999999,-2.520000000000003,1.8000000000000007,-16.310000000000002,-29.17,-17.4,-23.11,-32.84,-32.96,-19.36,-8.790000000000006,-20,-20.72,-14.86,-25.17,-9.290000000000006,-13.590000000000003,-17.039999999999992,-9.11,NA,-10.620000000000005,-9.329999999999998,1.6599999999999966,-14.219999999999999,-17.08,-11.310000000000002,-14.11,-29.22,-23.97,-1.7099999999999937,-19.379999999999995,-14,-13.709999999999994,-21.790000000000006,NA,-14.670000000000002,-12.5,-17.209999999999994,-23.459999999999994,-16.370000000000005,-21.689999999999998,-20.42,-13.299999999999997,-19.569999999999993,NA,-18.569999999999993,-15.689999999999998,-12.700000000000003,-12.200000000000003,-0.85,-4.6699999999999875,-18.040000000000006,-18.310000000000002
1977,-35.28,-28.03,-20.92,-11.829999999999998,-11.230000000000004,-31.72,-26.83,10.430000000000007,1.1800000000000068,3.2099999999999937,6.819999999999993,-7.219999999999999,-3.260000000000005,-7.829999999999998,4.6200000000000045,1.269999999999996,-15.730000000000004,-15.769999999999996,NA,-15.86,NA,-9.36,-11.219999999999999,-27,-15.329999999999998,-7.4,-12.42,-13.079999999999998,-15.7,NA,-16.96,NA,-20.520000000000003,-17.2,7.689999999999998,-3.1700000000000017,0.6000000000000014,NA,-13.840000000000003,-12.96,-13.36,-5.790000000000006,-10,-4.719999999999999,-4.859999999999999,8.829999999999998,-5.290000000000006,-6.590000000000003,-13.039999999999992,-12.11,-10.75,-8.620000000000005,-6.329999999999998,-35.34,2.780000000000001,1.9200000000000017,-11.310000000000002,-4.109999999999999,NA,-13.969999999999999,-30.709999999999994,-26.379999999999995,-13,-12.709999999999994,-4.790000000000006,-11.650000000000006,-10.670000000000002,-5.5,3.7900000000000063,-27.459999999999994,-16.370000000000005,NA,-12.420000000000002,-32.3,-13.569999999999993,-22.290000000000006,-9.569999999999993,-0.6899999999999977,1.2999999999999972,-18.200000000000003,-0.85,-16.669999999999987,NA,0.6899999999999977
1978,-22.28,-23.03,-23.92,-14.829999999999998,-14.230000000000004,-22.72,-24.83,-15.569999999999993,-18.819999999999993,-20.790000000000006,-23.180000000000007,-13.219999999999999,-11.260000000000005,-29.83,-11.379999999999995,NA,-34.730000000000004,-13.769999999999996,-13.959999999999994,-7.859999999999999,NA,-11.36,-13.219999999999999,-24,NA,-6.4,-12.42,-14.079999999999998,-14.7,-17.64,-18.96,-5.039999999999999,-24.520000000000003,-18.2,-8.310000000000002,-16.17,-2.3999999999999986,-17.11,-18.840000000000003,-18.96,-14.36,-16.790000000000006,-20,-14.719999999999999,-7.859999999999999,-32.17,-7.290000000000006,-17.590000000000003,-18.039999999999992,-3.1099999999999994,-20.75,-28.620000000000005,2.6700000000000017,-33.34,-19.22,-19.08,-20.310000000000002,-16.11,-18.22,-17.97,-10.709999999999994,-16.379999999999995,-3,-5.709999999999994,-7.790000000000006,-14.650000000000006,-21.67,-26.5,-7.209999999999994,-9.459999999999994,-15.370000000000005,NA,0.5799999999999983,-33.3,-30.569999999999993,-34.290000000000006,-25.569999999999993,-25.689999999999998,-15.700000000000003,-19.200000000000003,NA,-18.669999999999987,-34.040000000000006,-4.310000000000002
1979,4.719999999999999,7.969999999999999,0.0799999999999983,5.170000000000002,5.769999999999996,12.280000000000001,-0.8299999999999983,-2.569999999999993,1.1800000000000068,3.2099999999999937,-4.180000000000007,3.780000000000001,6.739999999999995,-3.8299999999999983,-6.3799999999999955,-13.730000000000004,-3.730000000000004,25.230000000000004,-0.9599999999999937,7.140000000000001,9.120000000000005,-6.359999999999999,7.780000000000001,7,NA,-7.4,-13.42,-15.079999999999998,10.3,-11.64,-10.96,-10.04,-14.520000000000003,-5.199999999999999,16.689999999999998,-8.170000000000002,21.6,5.890000000000001,10.159999999999997,-14.96,6.640000000000001,-1.7900000000000063,-3,7.280000000000001,-0.8599999999999994,-18.17,14.709999999999994,0.4099999999999966,-5.039999999999992,13.89,4.25,-2.6200000000000045,7.670000000000002,-15.340000000000003,-15.219999999999999,-5.079999999999998,-7.310000000000002,8.89,-3.219999999999999,2.030000000000001,9.290000000000006,0.6200000000000045,9,8.290000000000006,1.2099999999999937,9.349999999999994,10.329999999999998,-8.5,9.790000000000006,NA,0.6299999999999955,-0.6899999999999977,9.579999999999998,-15.299999999999997,11.430000000000007,2.7099999999999937,-6.569999999999993,10.310000000000002,13.299999999999997,14.799999999999997,-0.85,-14.669999999999987,-25.040000000000006,2.6899999999999977
1980,-31.28,-21.03,4.079999999999998,-9.829999999999998,-15.230000000000004,-1.7199999999999989,-16.83,-7.569999999999993,NA,-13.790000000000006,-14.180000000000007,-13.219999999999999,-7.260000000000005,-25.83,-24.379999999999995,-6.730000000000004,-2.730000000000004,-18.769999999999996,-7.959999999999994,0.14000000000000057,24.120000000000005,3.6400000000000006,-5.219999999999999,-2,-0.3299999999999983,-2.4000000000000004,-4.42,1.9200000000000017,2.3000000000000007,-10.64,-3.960000000000001,1.9600000000000009,1.4799999999999969,-7.199999999999999,-3.3100000000000023,-7.170000000000002,-26.4,-5.109999999999999,-13.840000000000003,-9.96,-3.3599999999999994,-6.790000000000006,-10,-8.719999999999999,0.14000000000000057,-32.17,1.7099999999999937,1.4099999999999966,-9.039999999999992,-5.109999999999999,-10.75,-29.620000000000005,-6.329999999999998,-1.3400000000000034,-16.22,-17.08,-15.310000000000002,0.8900000000000006,-21.22,-14.969999999999999,-17.709999999999994,-22.379999999999995,-2,-0.7099999999999937,-14.790000000000006,-11.650000000000006,-9.670000000000002,-29.5,7.790000000000006,-9.459999999999994,-8.370000000000005,-6.689999999999998,-35.42,-17.299999999999997,-27.569999999999993,-30.290000000000006,-13.569999999999993,-5.689999999999998,-1.7000000000000028,-1.2000000000000028,-0.85,-6.6699999999999875,-38.040000000000006,11.689999999999998
