yy;aeronautica_6803;aeronautica_6817;aeronautica_6893;lazio_240;lazio_289;marche_701;sicilia_11883;sicilia_11933;toscana_55;aeronautica_6693;aeronautica_6697;aeronautica_6865;bolzano_176;bolzano_39;lazio_388;marche_703;trentino_6511;trentino_6564;trentino_6639;trentino_6640;aeronautica_6769;aeronautica_6773;aeronautica_6782;aeronautica_6794;aeronautica_6826;aeronautica_6827;aeronautica_6834;aeronautica_6851;emiliaromagna_12702;emiliaromagna_14246;marche_104;marche_110;marche_123;marche_25;toscana_72;toscana_78;aeronautica_6707;aeronautica_6709;aeronautica_6718;aeronautica_6720;aeronautica_6721;aeronautica_6723;aeronautica_6729;aeronautica_6730;aeronautica_6733;aeronautica_6779;aeronautica_6797;bolzano_203;marche_108;marche_109;marche_605;marche_608;toscana_25;toscana_76;trentino_6509;aeronautica_6691;aeronautica_6692;bolzano_223;bolzano_94;aeronautica_6771;aeronautica_6856;aeronautica_6869;lazio_276;aeronautica_6919;aeronautica_6923
1981;10;37;2;5;17;9;1;7;35;158;140;106;128;123;NA;94;166;98;144;140;60;63;56;NA;61;35;25;47;49;66;74;15;64;31;21;1;98;71;81;104;104;84;97;92;83;80;70;97;63;60;54;31;92;63;103;172;179;153;161;NA;0;0;3;11;9
1982;3;13;1;0;5;12;0;0;15;162;133;102;102;109;132;60;91;63;155;141;41;36;30;23;28;14;16;28;37;43;42;11;34;NA;4;NA;74;47;59;75;72;56;75;65;51;NA;44;65;59;31;32;14;71;46;71;193;199;159;NA;0;1;0;0;2;1
1983;3;22;6;13;10;NA;1;0;26;167;138;86;102;96;NA;NA;135;69;119;141;56;35;33;27;33;21;16;36;46;51;13;NA;39;13;16;0;93;57;74;110;97;87;88;78;72;71;55;106;74;41;52;26;76;57;72;180;177;165;NA;0;2;1;2;NA;4
1984;2;19;0;23;4;3;0;0;14;179;137;92;109;119;NA;68;131;73;157;145;42;24;30;22;43;17;9;21;43;17;11;8;41;7;10;0;84;64;64;79;75;56;68;56;44;59;55;92;46;39;38;22;71;40;66;206;208;171;155;0;0;0;0;8;5
1985;NA;NA;0;16;18;NA;0;0;31;180;137;83;109;109;131;56;139;76;140;149;52;35;41;NA;33;14;21;36;41;34;26;23;35;19;23;26;83;74;60;76;76;65;75;67;56;62;47;94;39;36;45;31;74;45;68;195;191;162;150;8;5;1;NA;7;4
1986;6;20;1;11;14;3;7;0;31;168;132;96;115;138;141;71;119;80;143;161;54;26;31;27;40;17;12;20;30;NA;35;25;45;4;11;20;91;55;62;87;79;74;73;72;59;73;49;102;66;42;53;26;77;39;NA;192;181;166;154;3;0;0;1;6;4
1987;13;28;2;10;8;5;14;0;NA;154;120;103;86;NA;124;75;131;77;143;147;54;36;46;34;45;25;23;29;39;46;41;42;44;13;25;17;87;67;59;NA;81;69;81;70;64;60;42;102;70;46;45;40;62;44;66;186;NA;158;177;1;4;4;4;1;1
1988;NA;NA;1;19;4;0;5;0;23;155;NA;NA;111;NA;139;92;153;73;139;137;NA;NA;23;NA;NA;NA;NA;NA;8;20;19;6;17;8;16;10;87;NA;49;NA;NA;NA;NA;NA;48;NA;NA;102;63;12;32;14;58;47;87;NA;177;149;149;NA;NA;NA;1;NA;NA
1989;0;14;0;33;9;0;NA;NA;NA;139;108;58;112;102;102;NA;115;96;161;120;56;37;14;33;12;11;12;23;27;39;16;6;NA;15;8;4;82;23;65;69;80;72;67;67;55;65;44;102;73;22;56;6;36;44;67;165;160;137;169;0;0;0;0;0;0
1990;0;17;0;NA;8;NA;0;0;NA;147;99;61;115;113;115;NA;124;117;157;144;34;31;19;18;20;11;12;21;25;26;24;11;14;32;7;9;85;33;67;NA;NA;68;NA;NA;45;50;39;101;43;NA;36;12;58;62;79;159;158;147;174;0;0;0;0;2;3
