yy;aeronautica_6771;aeronautica_6773;aeronautica_6779;aeronautica_6797;aeronautica_6803;aeronautica_6822;aeronautica_6841;aeronautica_6850;aeronautica_6851;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6897;friuliveneziagiulia_51;lazio_276;marche_701;sicilia_6120;toscana_464;toscana_55;toscana_72;toscana_78;trentino_6509;trentino_6511;trentino_6564;aeronautica_6782;marche_104;marche_123;aeronautica_6794;aeronautica_6817;aeronautica_6827;aeronautica_6834;aeronautica_6859;aeronautica_6876;aeronautica_6881;aeronautica_6883;aeronautica_6893;aeronautica_6901;lazio_240;lazio_278;lazio_289;marche_25;sicilia_11825;sicilia_11832;sicilia_11883;sicilia_11898;sicilia_11933;sicilia_11942;aeronautica_6707;aeronautica_6718;aeronautica_6720;aeronautica_6721;aeronautica_6723;aeronautica_6729;aeronautica_6730;aeronautica_6733;aeronautica_6769;bolzano_203;emiliaromagna_12702;emiliaromagna_14246;emiliaromagna_9224;friuliveneziagiulia_14;friuliveneziagiulia_20;friuliveneziagiulia_39;marche_108;marche_110;marche_605;trentino_6570;aeronautica_6919;aeronautica_6922;aeronautica_6923
1974;6.2;4.5;6.1;4.6;7;8.8;9.7;9.6;6.2;10.4;10;11.6;10.8;7;10;8.8;7.1;4.4;5;6;7.5;4.2;3.6;6.4;3.9;2.8;3.7;10.5;9.4;10.2;8.5;10.3;13.8;12.7;12.9;12.3;13.1;8.6;7.4;10.7;6.6;13;10.1;7.4;12.2;9.4;12.2;1.5;2.9;2.3;2.3;1.1;1.3;1.6;3.1;4.9;0.1;3.5;2.7;3.9;2.4;4.7;NA;4;5.3;3.6;3.5;9;10.6;10.3
1975;6.6;5.8;4.7;3.4;4.8;8.4;7.3;8;2.6;8.3;7.3;9.2;7.9;4;8.7;8.5;5.7;7.4;5.4;5.5;5.7;3.5;2.9;5.7;1.5;2.6;1.2;7.4;8.5;9.2;6.2;7.6;12.2;11.7;11.8;10.4;10.7;9.2;6.5;10;4.5;10.4;7.6;5.9;12.2;7.6;12;1.3;-0.1;-0.6;-0.4;-1.3;0.9;0.1;1.2;3.2;1;1.9;-0.4;1.2;2.4;1;NA;2.4;4.5;-0.2;1.3;7;7.5;7.7
1976;5.1;3.1;0.7;NA;NA;6.3;6.7;7;3.7;8.3;7.5;9.6;8.9;2;7.2;5.8;5.7;5.8;5;3;4.7;NA;0.8;3;-1.4;0.4;0.5;7.4;6.3;6.3;4.8;7.8;12.3;11.2;11.9;9.5;11.2;NA;5.5;8.6;3.6;10.8;7.3;7.3;12.2;7.7;13.5;0.3;0.8;0.9;0.9;0.5;NA;-0.9;-0.8;1.1;0.1;0.7;0.9;1.2;-0.8;1;NA;0.1;2.3;0.1;0.8;8.6;6.3;8.7
1977;6.4;4.2;5.9;4.2;6.5;8.2;9.2;9.2;6;9.9;8.4;11.1;10.8;5;9.1;5.5;5.4;4.9;NA;3;NA;2;NA;3;2.2;3.1;2.8;5.7;6.2;7.8;5.7;8.4;11.3;11.1;12.6;10.4;12.1;9.1;8.5;9.1;5.2;12.2;10;7.4;12.2;NA;12.2;0.3;0.9;-0.4;-1.4;-2.2;3;3.1;3.1;3.9;0.1;1.6;NA;2.1;2.4;3.3;3.3;2.6;5.5;1.2;0.8;9.8;NA;10.6
1978;4.3;5;5;4.4;5.7;7.6;7.3;7.8;4.6;9.4;8;8.7;9.1;0;8.3;NA;6.4;4.7;6.3;4.5;NA;2;0;2.3;0.8;-0.6;0.6;8.4;8.4;7.5;6.5;7.1;9.5;9.5;11;7.6;9.3;7.8;5.7;8.8;4.8;10.9;8.3;6.4;10;9.4;11.2;-2.5;-1;-1.7;-1.5;-1.4;-1.4;-1.9;-1.8;0.2;-1.7;0.4;NA;1.2;-0.8;1.4;0.4;0.1;1.4;0.1;-0.1;7.6;7.9;7.2
1979;2.2;3.2;2;2.2;3.8;4.3;5.7;3.4;1.4;4.4;2.2;8;7.6;-1;4.9;4;2.4;3.2;1.9;-1;2.8;-1.8;-7.8;-1.8;-0.7;-2.8;-4.1;5.5;4.9;6.1;0.3;5.1;8.7;8.3;9.7;7.6;8.1;4.8;2.7;6;1.8;7.5;6.7;3.6;10.1;6.3;11.1;-4.5;-1;-4.2;-2.3;-1.6;-1.6;-0.8;-1.8;-1;NA;-0.6;-4.3;-1.8;-1.9;-0.5;1.4;-4.1;-1.7;-5;-2;7.8;6.8;8.8
1980;4.1;2.2;2;2.4;3.6;6.2;4.8;6.6;NA;7.4;4.3;10.2;9.3;0;6;6.9;2.8;3.6;4.7;2.5;1.5;2;-2.9;2.3;-1.6;-0.7;0.7;5.3;5.6;8;3.4;4.9;10.5;9.5;11.6;9.5;9.9;6.2;3.5;7.8;3.7;9.8;6.8;5.7;10.1;8.9;10.8;-2.5;-1;-3.3;-1.4;-0.8;0.9;0.9;0.2;-0.1;-0.8;-1.1;-3.2;-1.2;-1.7;2.4;2.3;1.6;2.2;-2;1.7;7.8;7.6;7.8
1981;NA;3.2;2.7;-0.8;0.5;2.4;5;3.6;1.4;7.4;6.1;NA;6.3;1;5.3;5.5;1.4;2.8;3.6;0;0.3;1.2;-4.9;1.4;-3.4;-2.9;-1.2;NA;3.7;4.9;2.5;6.4;8.7;8.2;7.6;7.6;8.6;2.9;0.5;6;0.2;NA;4.2;2.6;9.2;4.6;8.5;0.3;0.9;0;0.5;1.1;1.2;1.3;1.2;1.9;-0.8;1.3;2.4;-0.7;1.4;2.4;1.4;-1.3;0.7;-3.5;-1.1;5;1.9;4.2
1982;3;5.6;NA;4.7;6.3;8.4;7.9;8.4;2.8;9.2;6.8;10.6;9.5;1;9.6;3.8;6.9;6.5;2.9;3;NA;1.2;-1.8;-0.2;-1.5;-0.8;2;6.6;8.6;7.7;6.5;7.3;12.3;10.9;11.6;10.4;10.1;8;7;9.7;NA;12.4;9.7;8.9;11.8;6.3;11.6;-0.3;0.2;-0.6;0.3;1.1;-0.4;-0.3;-0.7;0.8;1;0.6;-0.4;NA;1.4;3.3;2.3;0.3;-0.2;-0.6;1.7;10.4;6.7;9
1983;5.6;5.7;4.7;2.7;4.8;8;6.6;5.8;3.5;6.9;5.7;8.7;8.2;1;7.2;NA;6;4.8;4.1;3.5;4.2;2.7;-2;3;-0.8;1.1;-0.7;6.6;7.3;8;6.3;7.3;11.4;9.2;9.7;7;8.6;6.8;4.6;8.8;3.2;11;8.3;8.9;10.5;3;9.1;-0.6;0;0.1;0.4;-1.2;-1.1;-0.6;-0.8;2.8;-1.7;1.3;1;2.5;1.4;2.4;1.4;-1.6;NA;-1;-0.1;NA;4.1;9
