yy,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6851,friuliveneziagiulia_20,marche_108,marche_110,marche_701,toscana_72,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6723,aeronautica_6733,emiliaromagna_12702,emiliaromagna_9224,friuliveneziagiulia_39,marche_152,marche_605,aeronautica_6782,marche_104,trentino_6509,trentino_6564,aeronautica_6771,aeronautica_6773,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6841,aeronautica_6850,aeronautica_6856,aeronautica_6869,aeronautica_6874,aeronautica_6881,aeronautica_6883,aeronautica_6893,aeronautica_6897,aeronautica_6901,lazio_289,marche_25,sicilia_11812,sicilia_11825,sicilia_11882,aeronautica_6919,aeronautica_6922
1972,2.49,NA,2.1000000000000005,1.63,-1.6800000000000002,2.4899999999999998,3.38,3.1400000000000006,2.82,NA,NA,1.23,0.54,NA,1.14,1.8499999999999999,-1.2999999999999998,1.5500000000000003,3.18,3.39,2.83,1.63,1.4700000000000002,0.3200000000000003,2.629999999999999,2.79,2.49,2.3200000000000003,3.6399999999999997,2.539999999999999,2.080000000000001,3.01,NA,NA,2.6899999999999995,0.9299999999999997,NA,1.700000000000001,NA,2.3200000000000003,2.1099999999999994,0.8699999999999992,2.01,0.05999999999999961,1.540000000000001,1.6000000000000005
1973,0.3899999999999997,0.41999999999999993,-0.39999999999999947,-0.07000000000000006,0.22000000000000008,-0.41,0.7800000000000002,0.9400000000000004,-1.1800000000000002,-1.23,0.4,1.63,1.1400000000000001,0.12,0.040000000000000036,0.95,NA,0.3500000000000001,0.38000000000000006,-1.31,-0.07,-1.4700000000000002,1.4700000000000002,0.9199999999999999,1.0299999999999994,-1.0099999999999998,-0.20999999999999996,-0.4800000000000004,-2.2600000000000002,0.7400000000000002,1.6800000000000006,1.4100000000000001,0.6100000000000003,0.379999999999999,0.5899999999999999,0.629999999999999,0.40000000000000036,-0.5,-0.5299999999999994,-1.1799999999999997,-1.1900000000000004,0.16999999999999993,-0.39000000000000057,NA,1.7400000000000002,-0.09999999999999964
1974,2.8899999999999997,3.0200000000000005,2.9000000000000004,3.93,4.12,4.69,3.88,3.74,3.82,2.57,3.3000000000000003,3.73,1.54,3.12,3.1399999999999997,3.55,NA,3.35,5.08,4.89,3.33,3.23,4.369999999999999,2.0200000000000005,2.4299999999999997,5.090000000000001,3.99,3.119999999999999,4.64,3.84,3.2800000000000002,3.210000000000001,4.409999999999999,2.7799999999999994,2.8900000000000006,1.83,2.8000000000000007,2.4000000000000004,2.4700000000000006,2.92,3.4099999999999993,1.9699999999999989,2.91,1.5599999999999996,1.9399999999999995,4.1000000000000005
1975,1.4900000000000002,1.92,0.7000000000000002,0.1299999999999999,1.2200000000000002,1.09,2.9800000000000004,3.4400000000000004,3.32,2.17,0.4,1.13,-0.8599999999999999,1.12,1.64,0.95,NA,2.2500000000000004,1.6800000000000002,2.49,3.1300000000000003,2.4299999999999997,3.6700000000000004,2.42,3.4299999999999997,1.9900000000000002,3.09,2.119999999999999,2.34,1.3399999999999999,1.6800000000000006,1.1099999999999994,1.71,0.17999999999999972,1.8900000000000006,0.8300000000000001,1.200000000000001,0.09999999999999964,0.16999999999999993,2.2200000000000006,1.5099999999999998,1.17,0.41000000000000014,2.259999999999999,-0.05999999999999961,0.9000000000000004
1976,-2.71,NA,NA,1.23,1.2200000000000002,0.79,0.8799999999999999,0.14000000000000012,0.8199999999999998,1.27,1.3000000000000003,2.43,0.8400000000000001,-0.88,0.5400000000000003,0.95,NA,-0.6499999999999999,1.98,-0.4099999999999999,0.9299999999999999,NA,1.4700000000000002,1.12,1.33,1.9900000000000002,0.8900000000000006,-0.8799999999999999,1.04,0.7400000000000002,0.6800000000000006,1.1099999999999994,1.8099999999999996,0.4800000000000004,2.09,0.9299999999999997,0.40000000000000036,0.9000000000000004,0.6699999999999999,0.8200000000000003,0.6099999999999994,1.3699999999999992,0.7100000000000009,1.759999999999999,1.540000000000001,-0.2999999999999998
1977,2.6899999999999995,2.62,2.4000000000000004,3.73,2.12,3.29,4.08,1.4400000000000004,0.8199999999999998,1.27,1.3000000000000003,1.23,-1.76,3.12,1.4400000000000002,1.8499999999999999,2.4,-1.45,2.98,3.19,3.6300000000000003,0.83,1.5699999999999998,2.2200000000000006,1.63,0.1900000000000004,2.29,0.7199999999999998,1.9399999999999995,3.34,2.88,2.710000000000001,2.8099999999999996,2.08,1.8900000000000006,1.5299999999999994,1.200000000000001,2,1.4700000000000006,1.2200000000000006,2.3099999999999996,0.46999999999999886,2.1099999999999994,1.6599999999999993,2.74,NA
1978,1.79,2.8200000000000003,1.6000000000000005,2.23,0.22000000000000008,0.79,-0.11999999999999988,NA,2.32,-1.53,-0.5,0.13,-0.8599999999999999,-1.88,0.24,0.95,-0.2999999999999998,-0.3500000000000001,1.98,1.79,0.03,0.83,0.8700000000000001,0.41999999999999993,2.2299999999999995,2.99,2.09,0.3200000000000003,2.54,1.3399999999999999,1.4800000000000004,2.1099999999999994,2.4099999999999993,-0.3200000000000003,0.39000000000000057,0.02999999999999936,-1.1999999999999993,0.5,-1.129999999999999,1.0199999999999996,2.01,0.46999999999999886,0.8100000000000005,-0.14000000000000057,0.54,1.4000000000000004
1979,-1.31,0.8200000000000003,-0.2999999999999998,-1.17,-1.6800000000000002,-3.41,0.7800000000000002,-1.9599999999999997,-3.18,-3.33,-0.5,-2.27,-0.96,-1.88,-0.6599999999999999,-1.85,0.6000000000000001,0.5500000000000003,-2.62,0.29000000000000004,-2.07,-3.0700000000000003,-3.43,-1.4799999999999995,0.7299999999999995,-0.009999999999999787,-1.5099999999999998,-1.08,-3.3600000000000003,-0.2599999999999998,-2.92,-2.79,-3.69,-1.0199999999999996,-1.7100000000000009,-1.17,-1.1999999999999993,-0.6999999999999993,-2.129999999999999,-1.88,-0.7900000000000005,-0.33000000000000007,-2.49,0.45999999999999996,0.7400000000000002,0.2999999999999998
1980,-1.31,1.02,-0.39999999999999947,NA,1.2200000000000002,2.39,1.48,1.8399999999999999,0.31999999999999984,-1.53,-0.5,-1.37,-0.15999999999999998,0.12,-1.06,-1.05,1.5,NA,0.08000000000000002,-0.6099999999999999,-0.37,0.83,0.8700000000000001,0.22000000000000064,-0.07000000000000028,-0.20999999999999996,-0.8099999999999996,0.9199999999999999,-0.4600000000000004,-1.2599999999999998,0.28000000000000025,0.20999999999999996,-1.4900000000000002,1.1799999999999997,-0.5099999999999998,0.629999999999999,0.40000000000000036,0.7000000000000011,-0.4299999999999997,0.020000000000000462,0.9099999999999993,0.06999999999999851,0.8100000000000005,NA,0.7400000000000002,1.1000000000000005
1981,-0.6100000000000003,-1.98,-3.4,-1.17,1.2200000000000002,-0.6100000000000001,0.08000000000000007,0.2400000000000002,-2.18,1.27,1.3000000000000003,1.63,1.74,1.12,1.0400000000000003,-0.65,0.6000000000000001,0.4500000000000002,-1.22,-2.41,-2.57,0.13,0.3700000000000001,NA,0.4299999999999997,NA,-2.8099999999999996,-2.2800000000000002,-1.3600000000000003,-1.0600000000000005,-2.7199999999999998,0.20999999999999996,0.41000000000000014,NA,-1.8100000000000005,-3.0700000000000003,-1.1999999999999993,-1.9000000000000004,-1.629999999999999,-1.88,-2.2900000000000005,NA,NA,-1.7400000000000002,-2.16,-4.6
1982,NA,3.12,2.3,0.33000000000000007,2.12,0.99,-0.72,-1.6599999999999997,0.8199999999999998,0.67,0.6,1.13,1.74,-0.78,0.5400000000000003,NA,1.5,1.7500000000000004,1.28,-0.51,-0.47000000000000003,0.13,-1.23,-0.6799999999999997,0.9299999999999997,1.1900000000000004,2.29,0.5199999999999996,2.54,2.1399999999999997,2.080000000000001,2.01,1.1100000000000003,1.58,0.7899999999999991,0.629999999999999,1.200000000000001,0.9000000000000004,-0.33000000000000007,1.92,NA,3.869999999999999,3.1099999999999994,1.5599999999999996,3.34,0.20000000000000018
1983,1.4900000000000002,1.2199999999999998,0.7000000000000002,1.0299999999999998,1.2200000000000002,-0.9100000000000001,NA,NA,1.3199999999999998,0.37,0.4,1.73,-0.6599999999999999,-0.88,1.0400000000000003,2.45,0.6000000000000001,2.5500000000000003,0.98,0.19000000000000006,1.3299999999999998,1.63,1.9700000000000002,1.62,1.0299999999999994,1.1900000000000004,0.9900000000000002,0.9199999999999999,2.34,0.7400000000000002,-0.5199999999999996,-0.29000000000000004,0.009999999999999787,-0.3200000000000003,-1.1099999999999994,-0.27000000000000135,-1.6999999999999993,-0.29999999999999893,-1.629999999999999,1.0199999999999996,0.40999999999999925,1.5699999999999985,1.9100000000000001,2.259999999999999,NA,-2.3
1984,0.5899999999999999,1.42,1.2999999999999998,-1.17,2.12,-0.41,-0.11999999999999988,0.7400000000000002,0.31999999999999984,1.27,1.9,1.9300000000000002,1.9400000000000002,-0.28,-0.26,2.55,NA,2.35,0.38000000000000006,-0.6099999999999999,0.73,2.4299999999999997,1.9700000000000002,0.5200000000000005,-0.16999999999999993,0.79,1.5899999999999999,0.9199999999999999,2.04,1.1399999999999997,NA,1.3100000000000005,0.9100000000000001,0.4800000000000004,-0.21000000000000085,0.22999999999999865,-1.1999999999999993,0.40000000000000036,-0.33000000000000007,1.8200000000000003,0.9099999999999993,0.7699999999999996,1.0099999999999998,1.0599999999999996,0.33999999999999986,-1.5999999999999996
1985,-5.21,-4.48,NA,-1.77,-4.58,-4.81,-4.02,NA,-5.58,-3.33,-4.7,-4.57,-2.2600000000000002,-4.78,-3.66,NA,-3.0999999999999996,-3.15,-4.0200000000000005,-4.71,-2.4699999999999998,-4.67,-4.33,-3.78,-7.470000000000001,-3.9099999999999997,-5.81,-3.2800000000000002,-3.5600000000000005,-3.2600000000000002,-1.12,-0.6899999999999995,-0.8899999999999997,0.4800000000000004,-0.9100000000000001,0.9299999999999997,1.200000000000001,0.40000000000000036,-0.129999999999999,-4.779999999999999,-4.090000000000001,-1.5300000000000011,0.21000000000000085,0.6599999999999993,-5.359999999999999,NA
1986,-2.21,-2.98,-2.4,1.0299999999999998,-2.68,-2.21,-0.9199999999999999,-0.6599999999999997,-1.1800000000000002,-0.23,1.3000000000000003,1.23,1.54,-0.88,-0.26,0.050000000000000044,NA,NA,-1.6199999999999999,-1.21,-0.47000000000000003,NA,-5.13,-2.38,-1.2700000000000005,-2.01,-2.51,-1.38,0.13999999999999968,-0.8600000000000003,0.8799999999999999,1.1099999999999994,0.009999999999999787,-2.12,-2.01,0.02999999999999936,-1.1999999999999993,0.20000000000000107,0.07000000000000028,-1.9799999999999995,-0.9900000000000002,-0.13000000000000078,-0.6899999999999995,-1.1400000000000006,-2.5599999999999996,-1.0999999999999996
1987,-0.9100000000000001,-0.17999999999999972,0.5,-3.4699999999999998,-1.6800000000000002,-3.5100000000000002,-2.02,0.040000000000000036,-2.18,-0.73,-1.8,NA,-1.66,-2.88,-1.06,NA,-2.2,NA,-0.52,-0.9099999999999999,-1.97,-2.77,-4.33,-0.5800000000000001,-2.2700000000000005,-1.4099999999999997,0.4900000000000002,-0.7800000000000002,-1.3600000000000003,-0.45999999999999996,-0.1200000000000001,-3.4899999999999998,-3.59,-2.12,-2.71,0.33000000000000007,0.40000000000000036,0.09999999999999964,-0.8300000000000001,1.3200000000000003,0.009999999999999787,-1.5300000000000011,-0.8900000000000006,-1.04,0.33999999999999986,1.6000000000000005
1988,NA,NA,NA,NA,1.2200000000000002,-0.81,1.88,2.9400000000000004,1.8199999999999998,0.27,1.6,NA,NA,2.52,2.1399999999999997,NA,1.5,1.7500000000000004,0.08000000000000002,0.19000000000000006,-0.17,0.63,-0.030000000000000027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5,NA,NA,-0.27999999999999936,-1.3900000000000006,0.2699999999999996,1.3100000000000005,-1.9400000000000004,NA,NA
1989,2.59,3.62,3.8,3.93,1.2200000000000002,2.4899999999999998,1.6800000000000002,2.84,3.52,-0.33,0,0.73,-0.6599999999999999,-0.38,0.5400000000000003,NA,-1.2999999999999998,0.4500000000000002,2.98,2.89,2.5300000000000002,0.63,1.67,2.620000000000001,1.33,2.79,3.1899999999999995,2.7200000000000006,3.34,2.9399999999999995,4.4799999999999995,2.91,2.01,1.9800000000000004,2.3900000000000006,2.5299999999999994,0.40000000000000036,2.3000000000000007,1.67,2.5199999999999996,2.6099999999999994,2.2699999999999996,3.210000000000001,-0.14000000000000057,3.34,4.3
