yy;aeronautica_6779;aeronautica_6797;aeronautica_6803;aeronautica_6851;friuliveneziagiulia_20;marche_108;marche_110;marche_701;toscana_72;aeronautica_6693;aeronautica_6697;aeronautica_6865;bolzano_39;lazio_388;toscana_25;trentino_6511;aeronautica_6707;aeronautica_6718;aeronautica_6720;aeronautica_6723;aeronautica_6733;emiliaromagna_12702;friuliveneziagiulia_39;marche_152;aeronautica_6709;aeronautica_6782;aeronautica_6826;marche_104;trentino_6509;trentino_6564;trentino_6640;aeronautica_6771;aeronautica_6794;aeronautica_6817;aeronautica_6827;aeronautica_6834;aeronautica_6841;aeronautica_6850;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6897;aeronautica_6901;lazio_289;marche_25;sicilia_11812;sicilia_11825;sicilia_11882;aeronautica_6691;aeronautica_6692;aeronautica_6919;aeronautica_6922
1995;6;12;0;0;6;7;0;0;0;0;0;6;0;6;0;NA;0;0;0;0;0;0;6;0;0;NA;6;6;NA;0;0;0;0;0;0;7;0;15;0;19;0;0;0;0;NA;0;7;20;NA;0;0;0;0
1996;6;6;0;6;6;0;12;6;NA;0;0;6;0;0;7;NA;0;0;0;6;6;20;NA;6;0;6;6;12;0;6;0;8;0;0;0;6;0;0;6;6;0;0;0;0;NA;0;12;0;0;NA;12;0;6
1997;0;0;0;0;6;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;NA;0;7;0;0;0;0;0;0;6;0;0;0;7;6;0;6;0;0;NA;0;8;12;7;NA;0;NA;0
1998;0;0;6;0;0;0;0;0;NA;0;NA;16;6;14;6;0;0;0;6;NA;0;0;8;0;0;6;13;13;6;6;6;26;0;0;0;0;7;8;0;NA;7;8;0;0;NA;NA;7;16;9;NA;NA;0;0
1999;NA;0;NA;NA;0;0;0;NA;NA;NA;NA;NA;0;6;0;0;0;12;NA;NA;0;7;0;7;NA;NA;NA;7;0;NA;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;15;6;NA;NA;NA;NA
2000;NA;NA;NA;0;0;0;0;0;NA;NA;NA;NA;0;6;NA;0;8;8;NA;NA;7;0;0;0;NA;NA;6;0;8;8;0;6;NA;NA;0;0;NA;NA;NA;NA;0;0;NA;0;0;6;7;6;0;7;7;NA;NA
2001;0;NA;NA;0;NA;0;6;NA;NA;0;NA;0;6;0;NA;12;14;9;0;7;0;6;8;7;0;6;0;6;0;0;10;0;0;0;NA;0;NA;0;0;0;0;0;NA;0;0;0;0;0;0;NA;NA;0;11
2002;10;NA;NA;0;7;NA;0;NA;7;12;0;6;0;7;9;0;0;0;NA;0;0;0;6;0;0;0;0;0;NA;0;8;0;0;0;0;0;0;7;0;NA;7;6;0;0;0;NA;12;NA;6;0;0;0;6
2003;0;NA;NA;0;0;0;0;0;0;6;NA;0;14;NA;0;0;0;0;0;0;0;6;7;0;NA;0;0;19;7;0;NA;0;0;0;0;6;0;0;0;0;0;20;0;0;0;0;20;37;0;13;8;10;6
2004;0;0;0;0;0;NA;0;0;0;0;0;6;0;NA;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;7;0;0;0;0;8
2005;0;7;10;0;0;0;0;17;0;0;0;0;28;NA;12;NA;15;6;8;9;6;6;0;0;0;20;7;22;NA;NA;10;20;0;0;0;0;0;7;0;8;14;13;20;18;7;0;6;40;NA;6;8;6;20
2006;0;0;0;0;6;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;6;0;6;0;6;0;0;20;14;0;0;0;0;0
2007;0;0;7;0;0;0;0;0;0;0;0;6;0;NA;0;NA;6;0;NA;0;0;0;0;0;0;7;0;0;NA;NA;NA;0;0;0;0;0;6;8;0;6;0;15;0;0;NA;0;0;6;0;0;0;0;7
2008;0;0;0;0;0;NA;NA;0;0;0;0;0;0;11;0;NA;0;0;0;0;0;6;0;0;0;10;0;8;NA;NA;0;0;0;0;0;0;0;7;0;0;0;6;0;0;0;0;0;0;0;0;0;0;8
2009;0;0;15;0;0;NA;NA;12;0;14;8;0;7;9;15;NA;6;6;7;13;6;7;6;0;8;15;9;8;NA;NA;NA;9;8;0;0;NA;9;9;0;0;16;15;7;6;0;0;0;0;7;6;15;0;6
2010;6;0;0;0;6;6;6;7;6;6;0;0;8;NA;7;NA;0;6;0;6;0;6;0;0;22;0;0;NA;NA;NA;6;14;0;0;0;NA;0;9;0;16;0;0;6;0;0;0;0;0;0;7;7;0;0
2011;8;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;7;0;0;0;0;0;0;NA;NA;0;0;0;0;0;NA;0;0;0;6;0;0;6;0;0;0;0;0;0;0;0;0;0
2012;6;0;15;0;6;0;0;6;13;10;13;0;8;15;19;13;10;15;14;0;14;10;6;7;21;20;9;15;12;12;0;12;7;0;0;NA;6;7;0;0;0;0;6;0;0;0;0;10;0;0;8;0;14
2013;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;6;0;0;7;7;0;NA;0;0;6;6;0;0;0;NA;0;0;0;0;0;0;14;0;0;0;0;13;0;6;0;6;15
2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;NA;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;NA;NA;0;0;NA;0;0;0;0
2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;0;0;0;0
2016;0;0;0;0;0;0;0;NA;0;0;6;0;6;0;0;0;0;0;NA;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;NA;0;0;0;0;NA;8;8;0;0;0;0;0
2017;0;NA;0;0;0;0;0;0;0;0;8;0;0;NA;0;0;0;0;NA;0;0;0;0;NA;0;0;0;NA;0;0;0;0;0;0;7;NA;6;8;7;8;0;0;0;NA;0;0;6;21;6;0;0;0;6
2018;0;NA;0;0;0;0;0;NA;0;0;0;0;0;7;0;0;0;0;0;0;0;6;NA;6;7;0;0;0;6;0;0;12;0;0;0;NA;0;0;0;0;6;0;0;NA;0;0;0;6;0;0;0;0;8
2019;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
2020;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;6;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;17;0;0;0;6;0;0
