yy,aeronautica_6779,aeronautica_6797,aeronautica_6803,aeronautica_6851,friuliveneziagiulia_20,marche_108,marche_110,marche_701,toscana_72,aeronautica_6693,aeronautica_6697,aeronautica_6865,bolzano_39,lazio_388,toscana_25,trentino_6511,aeronautica_6707,aeronautica_6718,aeronautica_6720,aeronautica_6723,aeronautica_6733,emiliaromagna_12702,friuliveneziagiulia_39,marche_152,aeronautica_6709,aeronautica_6782,aeronautica_6826,marche_104,trentino_6509,trentino_6564,trentino_6640,aeronautica_6771,aeronautica_6794,aeronautica_6817,aeronautica_6827,aeronautica_6834,aeronautica_6841,aeronautica_6850,aeronautica_6856,aeronautica_6869,aeronautica_6874,aeronautica_6881,aeronautica_6897,aeronautica_6901,lazio_289,marche_25,sicilia_11812,sicilia_11825,sicilia_11882,aeronautica_6691,aeronautica_6692,aeronautica_6919,aeronautica_6922
1982,NA,-3.62,-5.88,-2.39,4.37,6.27,-4.14,2.08,-5.31,-2.88,-3.96,2.12,-3.24,-5.88,-4.17,-6.57,-2.71,-1.88,-3.96,-3.62,2.71,-3.87,-3.62,-4.92,-5.86,-4.34,-5.42,-5.07,-4.08,-7.21,-3.5,-6.48,-3.07,-3.89,-3.65,-2.76,-5.41,-5.61,-1.9,-5.61,-2.96,-4.04,-1.93,-2.75,-4,NA,4.41,-5.14,-1.1899999999999995,-6.48,-5.5,-2.81,-3.96
1983,-1.62,-3.62,-5.88,-2.39,-2.63,-2.73,NA,NA,-5.31,-2.88,4.04,-3.88,-3.24,NA,-4.17,-6.57,-2.71,-1.88,10.04,-3.62,-3.29,-3.87,3.38,-4.92,-5.86,-4.34,-5.42,-5.07,-4.08,-7.21,-3.5,-6.48,-3.07,-3.89,-3.65,-2.76,-5.41,-5.61,-1.9,-5.61,-2.96,-4.04,-1.93,-2.75,-4,-3.66,-5.59,-5.14,-8.19,-6.48,-5.5,NA,-3.96
1984,-1.62,2.38,-5.88,-2.39,-2.63,-2.73,-4.14,1.08,-5.31,-2.88,-3.96,-3.88,-3.24,NA,1.83,-6.57,-2.71,5.12,-3.96,-3.62,-3.29,-3.87,NA,-4.92,15.14,-4.34,-5.42,-5.07,-4.08,-7.21,-3.5,22.52,-3.07,-3.89,-3.65,-2.76,0.5899999999999999,NA,-1.9,0.3899999999999997,-2.96,-4.04,-1.93,-2.75,-4,-3.66,0.41000000000000014,-5.14,-1.1899999999999995,-6.48,-5.5,-2.81,13.04
1985,-1.62,3.38,NA,-2.39,4.37,16.27,3.8600000000000003,NA,5.69,3.12,-3.96,-3.88,2.76,7.12,8.83,8.43,-2.71,6.12,5.04,7.38,2.71,5.13,3.38,3.08,5.14,5.66,-5.42,1.9299999999999997,-4.08,2.79,4.5,6.52,NA,NA,-3.65,5.24,0.5899999999999999,-5.61,4.1,-5.61,-2.96,-4.04,4.07,-2.75,3,3.34,-5.59,-5.14,-8.19,3.5199999999999996,5.5,-2.81,NA
1986,-1.62,-3.62,0.1200000000000001,-2.39,-2.63,-2.73,2.8600000000000003,-4.92,-5.31,-2.88,-3.96,3.12,8.76,-5.88,-4.17,-6.57,-2.71,-1.88,-3.96,-3.62,-3.29,-3.87,NA,NA,0.13999999999999968,-4.34,0.5800000000000001,3.9299999999999997,NA,-7.21,8.5,-0.4800000000000004,-3.07,-3.89,-3.65,-2.76,-5.41,-5.61,-1.9,0.3899999999999997,4.04,-4.04,-1.93,4.25,8,-3.66,-5.59,-5.14,-2.1899999999999995,-6.48,-5.5,-2.81,-3.96
1987,4.38,11.379999999999999,4.12,6.609999999999999,3.37,-2.73,10.86,-4.92,1.6900000000000004,3.12,3.04,13.120000000000001,NA,4.12,5.83,17.43,-2.71,-1.88,NA,10.379999999999999,10.71,8.129999999999999,11.379999999999999,NA,-5.86,9.66,5.58,9.93,-4.08,7.79,2.5,-6.48,11.93,11.11,6.35,-2.76,9.59,3.3899999999999997,11.1,4.39,6.04,5.96,5.07,5.25,5,2.34,-5.59,8.86,16.810000000000002,-6.48,NA,-2.81,-3.96
1988,NA,NA,NA,NA,-2.63,-2.73,-4.14,1.08,-5.31,-2.88,NA,NA,NA,-5.88,-4.17,3.4299999999999997,-2.71,4.12,NA,NA,-3.29,-3.87,4.38,-4.92,NA,-4.34,NA,-5.07,-4.08,-1.21,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-3.66,-5.59,-5.14,-0.1899999999999995,NA,-5.5,NA,NA
1989,4.38,2.38,-5.88,-2.39,-2.63,-2.73,-4.14,-4.92,-5.31,4.12,-3.96,-3.88,-3.24,-5.88,-4.17,-6.57,3.29,-1.88,-3.96,-3.62,-3.29,-3.87,-3.62,-4.92,-5.86,-4.34,-5.42,-5.07,-4.08,-7.21,-3.5,-6.48,-3.07,-3.89,4.35,-2.76,-5.41,-5.61,-1.9,6.39,-2.96,-4.04,-1.93,-2.75,-4,4.34,-5.59,-5.14,3.8100000000000005,-6.48,-5.5,3.19,-3.96
1990,-1.62,2.38,-5.88,-2.39,-2.63,-2.73,-4.14,NA,-5.31,3.12,-3.96,-3.88,9.76,-5.88,-4.17,-6.57,-2.71,-1.88,NA,-3.62,-3.29,-3.87,-3.62,-4.92,-5.86,1.6600000000000001,-5.42,-5.07,-4.08,-0.20999999999999996,9.5,-6.48,-3.07,2.11,-3.65,-2.76,-5.41,-5.61,-1.9,-5.61,-2.96,-4.04,-1.93,-2.75,2,-3.66,0.41000000000000014,-5.14,NA,-6.48,-5.5,-2.81,-3.96
1991,4.38,15.379999999999999,16.12,3.61,4.37,NA,2.8600000000000003,NA,6.69,13.120000000000001,7.04,18.12,14.76,NA,9.83,8.43,11.29,40.12,18.04,4.38,7.71,44.13,4.38,25.08,20.14,11.66,8.58,17.93,3.92,NA,NA,15.52,2.93,13.11,17.35,17.240000000000002,6.59,8.39,4.1,23.39,-2.96,36.96,NA,12.25,25,3.34,9.41,-5.14,6.8100000000000005,3.5199999999999996,NA,-2.81,32.04
